,serie,cpu_manufacturer,core,cpu_frequency,cpu_series,memory_size,memory_type,RAM,resolution,matrix_type,videocard,weight,laptop_class,prices
0,Asus TUF Gaming F15,Intel,6.0,2.6,Intel Core i5,512.0,SSD,16.0,1920x1080 Full HD,IPS,NGF RTX3050,2.3,Gaming,579990
1,Huawei HUAWEI MateBook D15,Intel,2.0,3.0,Intel Core i3,256.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.62,Non-gaming,299990
2,Asus X515JA,Intel,4.0,1.0,Intel Core i5,512.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.8,Non-gaming,299990
3,Asus X515JA,Intel,2.0,1.2,Intel Core i3,256.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.8,Non-gaming,219990
4,Asus TUF Gaming F15,Intel,4.0,2.5,Intel Core i5,512.0,SSD,16.0,1920x1080 Full HD,IPS,NGF GTX 1650,2.3,Gaming,489990
5,Asus F515EA,Intel,2.0,2.0,Intel Pentium Gold,128.0,SSD,4.0,1920x1080 Full HD,IPS,Integrated,1.8,Non-gaming,161490
6,Asus X515JA,Intel,4.0,1.3,Intel Core i7,512.0,SSD,16.0,1920x1080 Full HD,IPS,Integrated,1.6,Non-gaming,359990
7,Asus ROG STRIX G15,AMD,8.0,2.9,AMD Ryzen 7,512.0,SSD,16.0,1920x1080 Full HD,IPS,NGF RTX 3050 Ti,2.1,Gaming,599990
8,Asus X515JA,Intel,2.0,1.2,Intel Core i3,256.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.8,Non-gaming,254990
9,HP 15 Series,AMD,6.0,2.1,AMD Ryzen 5,512.0,SSD,2.0,1920x1080 Full HD,IPS,Integrated,1.69,Non-gaming,314990
10,Huawei HUAWEI MateBook D14,Intel,4.0,2.4,Intel Core i3,256.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.3,Non-gaming,299990
11,Huawei HUAWEI MateBook D15,Intel,4.0,2.4,Intel Core i5,512.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.62,Non-gaming,379990
12,Asus VivoBook,Intel,2.0,1.2,Intel Core i3,256.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.85,Non-gaming,249990
13,ASUS VivoBook S14,Intel,4.0,2.4,Intel Core i5,512.0,SSD,16.0,1920x1080 Full HD,IPS,Integrated,1.4,Non-gaming,395990
14,Lenovo IdeaPad 3,AMD,6.0,2.1,AMD Ryzen 5,1000.0,HDD,8.0,1920x1080 Full HD,IPS,Integrated,1.6,Non-gaming,299990
15,Asus Zenbook OLED,Intel,12.0,3.3,Intel Core i5,512.0,SSD,16.0,2880x1800,OLED,Integrated,1.3,Non-gaming,599990
16,"Apple MacBook Air Series, Apple MacBook Air 2022",Apple,8.0,3.5,M2,256.0,SSD,8.0,2560x1600 WQXGA,IPS,Integrated,1.24,Gaming,699990
17,Asus TUF Gaming F17,Intel,6.0,2.6,Intel Core i5,512.0,SSD,16.0,1920x1080 Full HD,IPS,NGF RTX 3060,2.6,Gaming,709990
18,Huawei HUAWEI MateBook D15,AMD,6.0,2.1,AMD Ryzen 5,512.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.5,Non-gaming,369990
19,Asus Zenbook 14 OLED,Intel,12.0,3.3,Intel Core i5,512.0,SSD,16.0,2880x1800,OLED,Integrated,1.39,Non-gaming,599990
20,Lenovo IdeaPad L3,Intel,4.0,2.4,Intel Core i5,1000.0,HDD,1.0,1920x1080 Full HD,IPS,Integrated,2.2,Non-gaming,309990
21,"Apple MacBook Pro Series, Apple MacBook Pro 2021",Apple,8.0,3.2,Apple M1 Pro,512.0,SSD,16.0,3024x1964,Liquid Retina XDR,Integrated,1.6,Gaming,1257990
22,Asus VivoBook Pro 15,AMD,6.0,3.3,AMD Ryzen 5,512.0,SSD,8.0,1920x1080 Full HD,IPS,NGF GTX 1650,1.8,Gaming,469990
23,Asus ROG STRIX G15,AMD,8.0,3.3,AMD Ryzen 9,1000.0,SSD,16.0,2560x1440 WQHD,IPS,NGF RTX 3070 Ti,2.1,Gaming,1299990
24,Asus TUF Dash F15,Intel,8.0,3.3,Intel Core i5,512.0,SSD,16.0,1920x1080 Full HD,IPS,NGF RTX3050,2.2,Gaming,579990
