,serie,cpu_manufacturer,core,cpu_frequency,cpu_series,memory_size,memory_type,RAM,resolution,matrix_type,videocard,weight,laptop_class,prices
0,,Intel,2,2.7,Intel Core i5,256,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.8,Для работы и учебы,179990
1,Asus TUF Gaming F15,Intel,6,2.6,Intel Core i5,512,SSD,16,1920x1080 Full HD,IPS,NGF RTX3050,2.3,Для игр и продакшена,579990
2,HUAWEI MateBook D15,Intel,2,3,Intel Core i3,256,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.62,Премиум,299990
3,Asus X515JA,Intel,4,1,Intel Core i5,512,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.8,Для работы и учебы,299990
4,Asus X515JA,Intel,2,1.2,Intel Core i3,256,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.8,Для работы и учебы,219990
5,Asus TUF Gaming F15,Intel,4,2.5,Intel Core i5,512,SSD,16,1920x1080 Full HD,IPS,NGF GTX 1650,2.3,Для игр и продакшена,489990
6,Asus F515EA,Intel,2,2,Intel Pentium Gold,128,SSD,4,1920x1080 Full HD,IPS,Встроенная,1.8,Повседневный серфинг,161490
7,Asus X515JA,Intel,4,1.3,Intel Core i7,512,SSD,16,1920x1080 Full HD,IPS,Встроенная,1.6,Премиум,359990
8,Asus ROG STRIX G15,AMD,8,2.9,AMD Ryzen 7,512,SSD,16,1920x1080 Full HD,IPS,NGF RTX 3050 Ti,2.1,Для игр и продакшена,599990
9,Asus X515JA,Intel,2,1.2,Intel Core i3,256,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.8,Для работы и учебы,254990
10,HP 15 Series,AMD,6,2.1,AMD Ryzen 5,512,SSD,2,1920x1080 Full HD,IPS,Встроенная,1.69,Для работы и учебы,314990
11,HUAWEI MateBook D14,Intel,4,2.4,Intel Core i3,256,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.3,Для работы и учебы,299990
12,HUAWEI MateBook D15,Intel,4,2.4,Intel Core i5,512,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.62,Премиум,379990
13,Asus VivoBook,Intel,2,1.2,Intel Core i3,256,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.85,Для работы и учебы,249990
14,ASUS VivoBook S14,Intel,4,2.4,Intel Core i5,512,SSD,16,1920x1080 Full HD,IPS,Встроенная,1.4,Премиум,395990
15,Lenovo IdeaPad 3,AMD,6,2.1,AMD Ryzen 5,1000,HDD,8,1920x1080 Full HD,IPS,Встроенная,1.6,Для работы и учебы,299990
16,Asus Zenbook OLED,Intel,12,3.3,Intel Core i5,512,SSD,16,2880x1800,OLED,Встроенная,1.3,Для работы и учебы,599990
17,"Apple MacBook Air Series, Apple MacBook Air 2022",Apple,8,,M2,256,SSD,8,2560x1600 WQXGA,IPS,Встроенная,1.24,MacBook,699990
18,Asus TUF Gaming F17,Intel,6,2.6,Intel Core i5,512,SSD,16,1920x1080 Full HD,IPS,NGF RTX 3060,2.6,Для игр и продакшена,709990
19,HUAWEI MateBook D15,AMD,6,2.1,AMD Ryzen 5,512,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.5,Премиум,369990
20,Asus Zenbook 14 OLED,Intel,12,3.3,Intel Core i5,512,SSD,16,2880x1800,OLED,Встроенная,1.39,Премиум,599990
21,Lenovo IdeaPad L3,Intel,4,2.4,Intel Core i5,1000,HDD,1,1920x1080 Full HD,IPS,Встроенная,2.2,Для работы и учебы,309990
22,"Apple MacBook Pro Series, Apple MacBook Pro 2021",Apple,8,,Apple M1 Pro,512,SSD,16,3024x1964,Liquid Retina XDR,Встроенная,1.6,MacBook,1257990
23,Asus VivoBook Pro 15,AMD,6,3.3,AMD Ryzen 5,512,SSD,8,1920x1080 Full HD,IPS,NGF GTX 1650,1.8,Для игр и продакшена,469990
24,Asus ROG STRIX G15,AMD,8,3.3,AMD Ryzen 9,1000,SSD,16,2560x1440 WQHD,IPS,NGF RTX 3070 Ti,2.1,Играй на Ultra,1299990
25,Asus TUF Dash F15,Intel,8,3.3,Intel Core i5,512,SSD,16,1920x1080 Full HD,IPS,NGF RTX3050,2.2,Для игр и продакшена,579990
26,Asus TUF Gaming A17,AMD,8,3.2,AMD Ryzen 7,1000,SSD,16,1920x1080 Full HD,IPS,NGF RTX 3060,399,Для игр и продакшена,899990
27,Asus Zenbook Pro Duo OLED,Intel,12,3.3,Intel Core i5,512,SSD,16,1920x1080 Full HD,OLED,Встроенная,1.7,Для работы и учебы,404990
28,Lenovo IdeaPad Gaming 3,Intel,4,3.3,Intel Core i7,512,SSD,16,1920x1080 Full HD,IPS,NGF RTX3050,2.2,Для игр и продакшена,629990
29,Lenovo IdeaPad Gaming 3,Intel,4,3.1,Intel Core i5,512,SSD,8,1920x1080 Full HD,IPS,NGF RTX3050,2.2,Для игр и продакшена,479990
30,HP Victus,Intel,12,2,Intel Core i5,512,SSD,16,1920x1080 Full HD,IPS,NGF RTX 3050 Ti,260,Для игр и продакшена,599990
31,Lenovo IdeaPad L3,Intel,2,1.8,Intel Celeron,1000,HDD,1,1920x1080 Full HD,IPS,Встроенная,2.2,Повседневный серфинг,189990
32,HP Envy x360,Intel,4,2.4,Intel Core i5,512,SSD,8,1920x1080 Full HD,IPS,Встроенная,194.6,Премиум,556890
33,Lenovo IdeaPad Gaming 3,Intel,4,3.1,Intel Core i5,512,SSD,16,1920x1080 Full HD,IPS,NGF RTX 3050 Ti,2.2,Для игр и продакшена,559990
34,Lenovo IdeaPad Gaming 3,Intel,4,3.1,Intel Core i5,512,SSD,8,1920x1080 Full HD,IPS,NGF RTX3050,2.25,Для игр и продакшена,529990
35,Asus Zenbook 14 OLED,Intel,12,3.4,Intel Core i7,1000,SSD,16,2880x1800,OLED,Встроенная,220.6,Премиум,729990
36,Asus VivoBook,AMD,6,3.3,AMD Ryzen 5,512,SSD,16,1920x1080 Full HD,IPS,Встроенная,1.8,Для работы и учебы,399990
37,HP 15 Series,AMD,8,1.8,AMD Ryzen 7,512,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.69,Для работы и учебы,379990
38,Asus TUF Dash F15,Intel,10,3.5,Intel Core i7,1000,SSD,16,1920x1080 Full HD,IPS,NGF RTX 3070,2,Для игр и продакшена,959990
39,"Apple MacBook Air Series, Apple MacBook Air 2022",Apple,8,,M2,512,SSD,8,2560x1600 WQXGA,IPS,Встроенная,1.24,MacBook,942990
40,"Apple MacBook Pro Series, Apple MacBook Pro 2022",Apple,8,,M2,512,SSD,8,2560x1600 WQXGA,IPS Retina,Встроенная,1.4,MacBook,942990
41,Lenovo IdeaPad 5 Pro,AMD,6,3.3,AMD Ryzen 5,512,SSD,16,2560x1600 WQXGA,IPS,NGF GTX 1650,1.9,Для работы и учебы,599990
42,"Apple MacBook Air Series, Apple MacBook Air 2022",Apple,8,,M2,256,SSD,16,2560x1600 WQXGA,IPS,Встроенная,1.24,MacBook,919990
43,Asus P1512,Intel,2,3,Intel Core i3,256,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.8,Для работы и учебы,319990
44,Asus X515EA,Intel,2,3,Intel Core i3,512,SSD,8,1920x1080 Full HD,250,Встроенная,1.8,Для работы и учебы,249990
45,HP Envy,Intel,4,2.4,Intel Core i5,512,SSD,8,1920x1080 Full HD,IPS,Встроенная,194.6,Для работы и учебы,522890
46,"Apple MacBook Pro Series, Apple MacBook Pro 2022",Apple,8,,M2,256,SSD,8,2560x1600 WQXGA,IPS Retina,Встроенная,1.4,MacBook,816990
47,Lenovo V15,Intel,2,1.2,Intel Core i3,256,SSD,4,1920x1080 Full HD,TN,Встроенная,1.85,Для работы и учебы,259990
48,HP Envy x360,AMD,6,2.3,AMD Ryzen 5,512,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.32,Для работы и учебы,522990
49,Asus Zenbook OLED,Intel,4,2.4,Intel Core i5,512,SSD,8,2880x1800,OLED,Встроенная,1.4,Для работы и учебы,579990
50,HP Victus,Intel,12,2,Intel Core i5,512,SSD,8,1920x1080 Full HD,IPS,NGF RTX3050,2.2,Для игр и продакшена,519890
51,LG Gram,Intel,4,2.8,Intel Core i7,1000,SSD,16,2560x1600 WQXGA,IPS,Встроенная,1.35,Премиум,1069990
52,HP Envy,Intel,4,2.4,Intel Core i5,256,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.3,Для работы и учебы,484990
53,HP Envy,Intel,4,2.4,Intel Core i5,512,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.3,Для работы и учебы,469990
54,HP Victus,Intel,12,2,Intel Core i5,512,SSD,8,1920x1080 Full HD,IPS,NGF GTX 1650,260,Для игр и продакшена,464990
55,Asus VivoBook,Intel,Intel UHD Graphics,1,Intel Core i5,256,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.8,Для работы и учебы,314990
56,"Apple MacBook Air Series, Apple MacBook Air 2022",Apple,8,,M2,512,SSD,8,2560x1600 WQXGA,IPS,Встроенная,1.24,MacBook,942990
57,"Apple MacBook Pro Series, Apple MacBook Pro 2022",Apple,8,,M2,512,SSD,8,2560x1600 WQXGA,IPS Retina,Встроенная,1.4,MacBook,942990
58,"Apple MacBook Air Series, Apple MacBook Air 2022",Apple,8,,M2,256,SSD,16,2560x1600 WQXGA,IPS,Встроенная,1.24,MacBook,919990
59,Lenovo IdeaPad 5 Pro,Intel,4,3.1,Intel Core i5,512,SSD,8,2560x1600 WQXGA,IPS,NGF MX450,1.9,Для работы и учебы,559990
60,Asus ExpertBook B5,Intel,12,3.3,Intel Core i5,512,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.2,Для работы и учебы,569990
61,HP Victus,AMD,6,3.3,4.2,512,SSD,16,1920x1080 Full HD,IPS,NGF RTX 3050 Ti,3.6,Для игр и продакшена,567890
62,HP Envy,Intel,4,2.4,Intel Core i5,512,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.3,Премиум,543990
63,HP Victus,AMD,6,3.3,AMD Ryzen 5,512,SSD,16,1920x1080 Full HD,IPS,NGF RTX 3050 Ti,3.6,Для игр и продакшена,529890
64,,,,,,,,,,,,,,519990
65,Asus Vivobook S 16X,AMD,6,3.3,AMD Ryzen 5,512,SSD,16,2560x1600 WQXGA,IPS,Встроенная,1.9,Премиум,519990
66,Lenovo IdeaPad 5 Pro,Intel,4,2.8,Intel Core i7,512,SSD,8,2240x1400,IPS,Встроенная,1.38,Для игр и продакшена,499990
67,Lenovo IdeaPad 3,Intel,2,3,Intel Core i3,1000,HDD,8,1920x1080 Full HD,TN,Встроенная,1.6,Для работы и учебы,239990
68,Gigabyte U4 UD,Intel,4,1.3,Intel Core i7,512,SSD,16,1920x1080 Full HD,IPS,Встроенная,1,Премиум,479990
69,Lenovo IdeaPad 5 Pro,AMD,6,3.3,AMD Ryzen 5,512,SSD,8,2560x1600 WQXGA,IPS,Встроенная,1.9,Для работы и учебы,459990
70,Lenovo V15,Intel,2,1.2,Intel Core i3,1000,HDD,4,1920x1080 Full HD,TN,Встроенная,1.85,Для работы и учебы,239990
71,Asus Laptop Series,Intel,4,1.8,Intel Core i7,512,SSD,16,1920x1080 Full HD,IPS,Встроенная,1.6,Для работы и учебы,419990
72,"Apple MacBook Pro Series, Apple MacBook Pro 2021",Apple,10,,Apple M1 Pro,512,SSD,16,3456x2234,Liquid Retina XDR,Встроенная,2.15,MacBook,1572990
73,"Apple MacBook Pro Series, Apple MacBook Pro 2021",Apple,10,,Apple M1 Pro,1000,SSD,16,3024x1964,Liquid Retina XDR,Встроенная,1.6,MacBook,1572990
74,"Apple MacBook Pro Series, Apple MacBook Pro 2021",Apple,10,,Apple M1 Pro,1000,SSD,16,3024x1964,Liquid Retina XDR,Встроенная,1.6,MacBook,1572990
75,Asus VivoBook Pro 15 OLED,Intel,4,3.1,Intel Core i5,512,SSD,8,1920x1080 Full HD,OLED,NGF GTX 1650 Max-Q,1.65,Для работы и учебы,519990
76,Dell Vostro,AMD,2,2.6,3.5,256,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.7,Для работы и учебы,299990
77,Asus VivoBook 14,Intel,2,3,Intel Core i3,256,SSD,4,1920x1080 Full HD,IPS,Встроенная,1.4,Для работы и учебы,319990
78,Asus ROG Zephyrus M16,Intel,14,2.3,Intel Core i7,512,SSD,16,2560x1600 WQXGA,IPS,NGF RTX 3050 Ti,1.9,Для игр и продакшена,899990
79,HP Spectre x360,Intel,4,2.4,Intel Core i5,512,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.2,Премиум,774990
80,HP Laptop,Intel,4,0.9,Intel Core i3,512,SSD,8,1920x1080 Full HD,IPS,Встроенная,1.6,Для работы и учебы,369990
81,MateBook 14,AMD,6,2.1,AMD Ryzen 5,512,SSD,16,1920x1080 Full HD,IPS,Встроенная,1.49,Премиум,599990
82,Asus ROG Flow Z13,Intel,14,2.3,Intel Core i7,512,SSD,16,1920x1200 WUXGA,IPS,NGF RTX3050,204,Премиум,1569990
83,"Apple MacBook Air Series, Apple MacBook Air 2020",Apple,8,,Apple M1,256,SSD,16,2560x1600 WQXGA,IPS Retina,Встроенная,1.29,MacBook,827990
84,"Apple MacBook Pro Series, Apple MacBook Pro 2021",Apple,8,,Apple M1 Pro,512,SSD,32,3024x1964,Liquid Retina XDR,Встроенная,1.6,MacBook,1783990
85,"Apple MacBook Air Series, Apple MacBook Air 2022",Apple,8,,M2,256,SSD,16,2560x1600 WQXGA,IPS,Встроенная,1.24,MacBook,919990
86,LG Gram,Intel,4,2.8,Intel Core i7,512,SSD,16,2560x1600 WQXGA,IPS,Встроенная,243.4,Премиум,969990
